PAC	Best_druggability_status
P20160	3D_ligandable
P20231	3D_ligandable
P20248	3D_ligandable
P20273	Approved
P20309	Approved
P20338	3D_ligandable
P20339	3D_ligandable
P20340	3D_ligandable
P20585	3D_ligandable
P20591	3D_ligandable
P20592	3D_ligandable
P20594	Approved
P20618	Approved
P20648	Approved
P20701	Approved
P20702	3D_ligandable
P20711	Approved
P20718	3D_ligandable
P20807	3D_ligandable
P20813	3D_ligandable
P20815	Approved
P20839	Approved
P20933	3D_ligandable
P20936	3D_ligandable
P21281	3D_ligandable
P21283	3D_ligandable
P21333	3D_ligandable
P21359	3D_ligandable
P21397	Approved
P21399	3D_ligandable
P21439	3D_ligandable
P21452	Quality_probe
P21453	Approved
P21554	Approved
P21579	3D_ligandable
P21580	3D_ligandable
P21583	3D_ligandable
P21589	Quality_probe
P21673	3D_ligandable
P21675	Quality_probe
P21695	3D_ligandable
P21709	Approved
P21728	Approved
P21730	Quality_probe
P21796	3D_ligandable
P21802	Approved
P21817	Approved
P21860	Approved
P21917	Approved
P21918	Approved
P21964	Approved
P21980	3D_ligandable
P22001	Approved
P22004	3D_ligandable
P22033	3D_ligandable
P22061	3D_ligandable
P22087	3D_ligandable
P22090	3D_ligandable
P22102	Quality_probe
P22223	3D_ligandable
P22234	3D_ligandable
P22301	3D_ligandable
P22303	Approved
P22304	3D_ligandable
P22314	Quality_probe
P22392	3D_ligandable
P22455	Approved
P22459	Approved
P22460	Approved
P22557	3D_ligandable
P22607	Approved
P22612	Quality_probe
P22626	3D_ligandable
P22680	3D_ligandable
P22681	3D_ligandable
P22695	3D_ligandable
P22736	3D_ligandable
P22748	Approved
P22830	3D_ligandable
P22888	Approved
P22891	3D_ligandable
P22894	Approved
P22897	3D_ligandable
P22914	3D_ligandable
P23025	3D_ligandable
P23083	3D_ligandable
P23141	Quality_probe
P23193	3D_ligandable
P23219	Approved
P23258	3D_ligandable
P23280	3D_ligandable
P23284	Approved
P23297	3D_ligandable
P23368	3D_ligandable
P23378	3D_ligandable
P23381	3D_ligandable
P23396	3D_ligandable
P23415	3D_ligandable
P23435	3D_ligandable
P23443	Investigational
P23458	Approved
P23467	3D_ligandable
P23468	3D_ligandable
P23469	3D_ligandable
P23470	3D_ligandable
P23471	3D_ligandable
P23497	3D_ligandable
P23526	3D_ligandable
P23528	3D_ligandable
P23677	3D_ligandable
P23763	Approved
P23771	3D_ligandable
P23786	Approved
P23919	3D_ligandable
P23921	Approved
P23945	Approved
P23946	3D_ligandable
P23975	Approved
P24071	3D_ligandable
P24158	3D_ligandable
P24385	Approved
P24462	Approved
P24468	3D_ligandable
P24530	Approved
P24723	Approved
P24752	3D_ligandable
P24863	3D_ligandable
P24864	Quality_probe
P24928	3D_ligandable
P24941	Investigational
P25021	Approved
P25024	3D_ligandable
P25025	3D_ligandable
P25054	3D_ligandable
P25090	3D_ligandable
P25092	Approved
P25098	Quality_probe
P25100	Approved
P25101	Approved
P25103	Approved
P25105	3D_ligandable
P25116	Approved
P25189	3D_ligandable
P25205	3D_ligandable
P25311	3D_ligandable
P25325	3D_ligandable
P25398	3D_ligandable
P25440	Quality_probe
P25685	3D_ligandable
P25774	Quality_probe
P25786	Approved
P25787	Approved
P25788	Approved
P25789	Approved
P25929	Quality_probe
P25963	3D_ligandable
P26012	3D_ligandable
P26038	3D_ligandable
P26045	3D_ligandable
P26196	3D_ligandable
P26358	Approved
P26368	3D_ligandable
P26440	3D_ligandable
P26441	3D_ligandable
P26447	3D_ligandable
P26599	3D_ligandable
P26639	3D_ligandable
P26641	3D_ligandable
P26951	Approved
P27037	3D_ligandable
P27144	3D_ligandable
P27216	3D_ligandable
P27338	Approved
P27348	3D_ligandable
P27352	3D_ligandable
P27361	Quality_probe
P27448	3D_ligandable
P27449	3D_ligandable
P27487	Approved
P27540	3D_ligandable
P27694	3D_ligandable
P27695	Quality_probe
P27707	3D_ligandable
P27708	3D_ligandable
P27797	3D_ligandable
P27815	Approved
P27918	3D_ligandable
P27930	3D_ligandable
P27986	Investigational
P28062	Approved
P28065	Approved
P28066	Approved
P28067	3D_ligandable
P28070	Approved
P28072	Approved
P28074	Approved
P28161	Quality_probe
P28221	Approved
P28222	Approved
P28223	Approved
P28329	3D_ligandable
P28331	3D_ligandable
P28332	Approved
P28335	Approved
P28340	Approved
P28347	3D_ligandable
P28472	Approved
P28482	Quality_probe
P28566	Approved
P28676	3D_ligandable
P28702	Approved
P28715	3D_ligandable
P28845	Approved
P28907	Approved
P28908	Approved
P29016	3D_ligandable
P29017	3D_ligandable
P29033	3D_ligandable
P29074	3D_ligandable
P29083	3D_ligandable
P29084	3D_ligandable
P29218	3D_ligandable
P29274	Approved
P29275	Approved
P29317	Approved
P29320	Approved
P29322	Approved
P29323	Approved
P29350	3D_ligandable
P29353	3D_ligandable
P29371	Quality_probe
P29372	3D_ligandable
P29373	3D_ligandable
P29374	3D_ligandable
P29375	3D_ligandable
P29400	3D_ligandable
P29401	3D_ligandable
P29459	3D_ligandable
P29460	Approved
P29466	Quality_probe
P29474	3D_ligandable
P29475	3D_ligandable
P29508	3D_ligandable
P29597	Approved
P29622	3D_ligandable
P29972	3D_ligandable
P29973	3D_ligandable
P29992	3D_ligandable
P30038	3D_ligandable
P30040	3D_ligandable
P30043	3D_ligandable
P30044	3D_ligandable
P30046	3D_ligandable
P30047	3D_ligandable
P30050	3D_ligandable
P30084	3D_ligandable
P30101	3D_ligandable
P30153	3D_ligandable
P30260	3D_ligandable
P30291	Investigational
P30305	Quality_probe
P30307	Quality_probe
P30405	3D_ligandable
P30419	Quality_probe
P30511	3D_ligandable
P30518	Approved
P30519	3D_ligandable
P30520	3D_ligandable
P30530	Investigational
P30531	Approved
P30536	Approved
P30542	Approved
P30556	Approved
P30559	Approved
P30566	3D_ligandable
P30613	3D_ligandable
P30626	3D_ligandable
P30711	3D_ligandable
P30838	3D_ligandable
P30872	Approved
P30874	Approved
P30876	3D_ligandable
P30926	Approved
P30939	Approved
P30968	Approved
P30988	Approved
P30989	Quality_probe
P31025	3D_ligandable
P31040	3D_ligandable
P31153	3D_ligandable
P31213	Approved
P31327	Approved
P31350	Approved
P31358	Approved
P31391	Approved
P31415	3D_ligandable
P31639	Approved
P31644	Approved
P31645	Approved
P31689	3D_ligandable
P31749	Investigational
P31751	Quality_probe
P31785	Approved
P31930	3D_ligandable
P31937	3D_ligandable
P31939	Quality_probe
P31941	3D_ligandable
P31943	3D_ligandable
P31946	3D_ligandable
P31947	3D_ligandable
P31994	3D_ligandable
P32119	3D_ligandable
P32238	Approved
P32239	Approved
P32241	3D_ligandable
P32245	Quality_probe
P32248	3D_ligandable
P32297	Approved
P32298	3D_ligandable
P32320	Approved
P32321	3D_ligandable
P32322	3D_ligandable
P32455	3D_ligandable
P32456	3D_ligandable
P32745	Approved
P32754	Approved
P32780	3D_ligandable
P32881	3D_ligandable
P32927	Approved
P32929	3D_ligandable
P33176	3D_ligandable
P33261	3D_ligandable
P33316	3D_ligandable
P33402	Approved
P33527	Quality_probe
P33552	3D_ligandable
P33681	Approved
P33981	Quality_probe
P33991	3D_ligandable
P33992	3D_ligandable
P33993	3D_ligandable
P34059	3D_ligandable
P34130	3D_ligandable
P34897	3D_ligandable
P34903	Approved
P34913	Quality_probe
P34931	3D_ligandable
P34947	3D_ligandable
P34969	Approved
P34972	Quality_probe
P34981	Approved
P34995	Approved
P34998	3D_ligandable
P35052	3D_ligandable
P35219	3D_ligandable
P35221	3D_ligandable
P35222	3D_ligandable
P35225	Approved
P35226	3D_ligandable
P35228	Quality_probe
P35236	3D_ligandable
P35240	3D_ligandable
P35241	3D_ligandable
P35244	3D_ligandable
P35251	3D_ligandable
P35269	3D_ligandable
P35270	3D_ligandable
P35346	Approved
P35348	Approved
P35354	Approved
P35367	Approved
P35368	Approved
P35372	Approved
P35398	3D_ligandable
P35408	Approved
P35414	3D_ligandable
P35442	3D_ligandable
P35462	Approved
P35475	3D_ligandable
P35498	Approved
P35499	Approved
P35520	3D_ligandable
P35523	3D_ligandable
P35555	3D_ligandable
P35557	3D_ligandable
P35558	3D_ligandable
P35568	3D_ligandable
P35580	3D_ligandable
P35590	Quality_probe
P35609	3D_ligandable
P35610	Approved
P35613	3D_ligandable
P35625	3D_ligandable
P35658	3D_ligandable
P35670	3D_ligandable
P35790	Investigational
P35813	3D_ligandable
P35913	Approved
P35914	3D_ligandable
P35916	Approved
P35968	Approved
P35998	3D_ligandable
P36222	3D_ligandable
P36404	3D_ligandable
P36507	Approved
P36544	3D_ligandable
P36551	3D_ligandable
P36639	Quality_probe
P36776	3D_ligandable
P36871	3D_ligandable
P36873	Quality_probe
P36888	Approved
P36896	Quality_probe
P36897	Investigational
P36954	3D_ligandable
P36955	3D_ligandable
P36957	3D_ligandable
P36959	3D_ligandable
P36969	Quality_probe
P37023	3D_ligandable
P37088	Approved
P37173	Quality_probe
P37231	Approved
P37235	3D_ligandable
P37268	3D_ligandable
P37288	Approved
P37840	3D_ligandable
P38117	3D_ligandable
P38398	3D_ligandable
P38435	Approved
P38484	Approved
P38571	3D_ligandable
P38606	3D_ligandable
P38646	3D_ligandable
P38919	3D_ligandable
P38935	3D_ligandable
P39019	3D_ligandable
P39086	Approved
P39656	3D_ligandable
P39748	3D_ligandable
P39900	3D_ligandable
P40121	3D_ligandable
P40189	3D_ligandable
P40225	3D_ligandable
P40227	3D_ligandable
P40238	Approved
P40259	Approved
P40261	3D_ligandable
P40306	Approved
P40337	Quality_probe
P40394	Approved
P40692	3D_ligandable
P40763	Quality_probe
P40818	3D_ligandable
P40855	3D_ligandable
P40933	3D_ligandable
P40938	3D_ligandable
P40939	3D_ligandable
P41091	3D_ligandable
P41143	Approved
P41145	Approved
P41146	Approved
P41180	Approved
P41182	Quality_probe
P41208	3D_ligandable
P41218	3D_ligandable
P41222	Approved
P41223	3D_ligandable
P41227	3D_ligandable
P41229	3D_ligandable
P41235	Approved
P41238	3D_ligandable
P41240	3D_ligandable
P41250	3D_ligandable
P41279	Quality_probe
P41440	Quality_probe
P41567	3D_ligandable
P41586	3D_ligandable
P41594	3D_ligandable
P41595	Approved
P41597	Quality_probe
P41743	Approved
P42081	Approved
P42126	3D_ligandable
P42166	3D_ligandable
P42167	3D_ligandable
P42224	3D_ligandable
P42226	3D_ligandable
P42261	Approved
P42262	Approved
P42263	Approved
P42285	3D_ligandable
P42330	3D_ligandable
P42336	Approved
P42338	Investigational
P42345	Approved
P42356	3D_ligandable
P42568	3D_ligandable
P42574	Quality_probe
P42575	3D_ligandable
P42658	3D_ligandable
P42680	3D_ligandable
P42684	3D_ligandable
P42685	Approved
P42765	3D_ligandable
P42773	3D_ligandable
P42785	3D_ligandable
P42858	3D_ligandable
P42892	3D_ligandable
P42898	3D_ligandable
P43003	3D_ligandable
P43005	3D_ligandable
P43026	3D_ligandable
P43088	Approved
P43115	Approved
P43116	Approved
P43119	Approved
P43121	3D_ligandable
P43146	3D_ligandable
P43155	3D_ligandable
P43166	Quality_probe
P43220	Approved
P43235	Quality_probe
P43246	3D_ligandable
P43250	3D_ligandable
P43351	3D_ligandable
P43354	3D_ligandable
P43366	3D_ligandable
P43378	3D_ligandable
P43403	3D_ligandable
P43405	Approved
P43487	3D_ligandable
P43490	Quality_probe
P43626	3D_ligandable
P43627	3D_ligandable
P43628	3D_ligandable
P43629	3D_ligandable
P43631	3D_ligandable
P43632	3D_ligandable
P43652	3D_ligandable
P43681	Approved
P43686	3D_ligandable
P45381	3D_ligandable
P45452	Approved
P45954	3D_ligandable
P45974	3D_ligandable
P45983	Quality_probe
P45984	Quality_probe
P45985	3D_ligandable
P46063	3D_ligandable
P46098	Approved
P46100	3D_ligandable
P46108	3D_ligandable
P46531	3D_ligandable
P46736	3D_ligandable
P46781	3D_ligandable
P46782	3D_ligandable
P46783	3D_ligandable
P46926	3D_ligandable
P46934	3D_ligandable
P46939	3D_ligandable
P46952	3D_ligandable
P46976	3D_ligandable
P46977	3D_ligandable
P47712	3D_ligandable
P47736	3D_ligandable
P47813	3D_ligandable
P47869	Approved
P47870	Approved
P47871	Approved
P47872	Approved
P47895	3D_ligandable
P47897	3D_ligandable
P47898	Approved
P47900	Quality_probe
P47901	Approved
P47902	3D_ligandable
P47989	Approved
P47992	3D_ligandable
P48039	Approved
P48052	3D_ligandable
P48058	Approved
P48059	3D_ligandable
P48067	Quality_probe
P48147	3D_ligandable
P48163	3D_ligandable
P48169	Approved
P48200	3D_ligandable
P48426	3D_ligandable
P48443	Approved
P48449	3D_ligandable
P48547	Approved
P48551	Approved
P48556	3D_ligandable
P48637	3D_ligandable
P48643	3D_ligandable
P48729	3D_ligandable
P48730	3D_ligandable
P48735	Approved
P48736	Approved
P48740	3D_ligandable
P48764	Approved
P48775	3D_ligandable
P49005	3D_ligandable
P49137	Quality_probe
P49146	Quality_probe
P49189	3D_ligandable
P49257	3D_ligandable
P49286	Approved
P49327	Quality_probe
P49336	Quality_probe
P49354	3D_ligandable
P49356	Quality_probe
P49366	3D_ligandable
P49368	3D_ligandable
P49407	3D_ligandable
P49419	3D_ligandable
P49427	3D_ligandable
P49448	3D_ligandable
P49450	3D_ligandable
P49588	3D_ligandable
P49591	3D_ligandable
P49638	3D_ligandable
P49642	3D_ligandable
P49643	3D_ligandable
P49662	3D_ligandable
P49674	Quality_probe
P49675	3D_ligandable
P49715	3D_ligandable
P49720	Approved
P49721	Approved
P49736	3D_ligandable
P49747	3D_ligandable
P49748	3D_ligandable
P49753	3D_ligandable
P49756	3D_ligandable
P49757	3D_ligandable
P49759	Quality_probe
P49760	3D_ligandable
P49761	Quality_probe
P49765	Approved
P49768	3D_ligandable
P49770	3D_ligandable
P49773	3D_ligandable
P49789	3D_ligandable
P49795	3D_ligandable
P49815	3D_ligandable
P49821	3D_ligandable
P49840	Quality_probe
P49841	Investigational
P49848	3D_ligandable
P49862	3D_ligandable
P49863	3D_ligandable
P49888	3D_ligandable
P49895	Approved
P49902	3D_ligandable
P49903	3D_ligandable
P49914	3D_ligandable
P49915	3D_ligandable
P49916	3D_ligandable
P49917	3D_ligandable
P49959	3D_ligandable
P50052	3D_ligandable
P50053	3D_ligandable
P50120	3D_ligandable
P50135	3D_ligandable
P50213	3D_ligandable
P50225	3D_ligandable
P50226	3D_ligandable
P50336	3D_ligandable
P50406	Approved
P50416	Quality_probe
P50440	3D_ligandable
P50542	3D_ligandable
P50579	Quality_probe
P50583	3D_ligandable
P50591	3D_ligandable
P50607	3D_ligandable
P50613	Investigational
P50750	Investigational
P50851	3D_ligandable
P50990	3D_ligandable
P50991	3D_ligandable
P50993	Approved
P51149	3D_ligandable
P51151	3D_ligandable
P51157	3D_ligandable
P51159	3D_ligandable
P51160	Approved
P51161	3D_ligandable
P51164	Approved
P51168	Approved
P51170	Approved
P51449	3D_ligandable
P51451	Approved
P51531	Quality_probe
P51532	Quality_probe
P51553	3D_ligandable
P51570	3D_ligandable
P51580	3D_ligandable
P51610	3D_ligandable
P51617	3D_ligandable
P51648	3D_ligandable
P51649	Approved
P51659	3D_ligandable
P51665	3D_ligandable
P51668	3D_ligandable
P51677	Quality_probe
P51679	Approved
P51681	Approved
P51684	3D_ligandable
P51686	3D_ligandable
P51692	Quality_probe
P51693	3D_ligandable
P51787	Approved
P51788	Approved
P51795	3D_ligandable
P51798	3D_ligandable
P51812	Quality_probe
P51813	Quality_probe
P51857	3D_ligandable
P51858	3D_ligandable
P51946	3D_ligandable
P51948	3D_ligandable
P51955	Quality_probe
P51970	Approved
P52179	3D_ligandable
P52209	3D_ligandable
P52298	3D_ligandable
P52306	3D_ligandable
P52333	Approved
P52434	3D_ligandable
P52435	3D_ligandable
P52564	3D_ligandable
P52565	3D_ligandable
P52566	3D_ligandable
P52597	3D_ligandable
P52630	3D_ligandable
P52655	3D_ligandable
P52657	3D_ligandable
P52701	3D_ligandable
P52732	Quality_probe
P52757	3D_ligandable
P52758	3D_ligandable
P52788	3D_ligandable
P52789	3D_ligandable
P52790	3D_ligandable
P52799	3D_ligandable
P52803	3D_ligandable
P52848	3D_ligandable
P52888	3D_ligandable
P52895	3D_ligandable
P52948	3D_ligandable
P53004	3D_ligandable
P53041	3D_ligandable
P53350	Investigational
P53355	3D_ligandable
P53396	Approved
P53420	3D_ligandable
P53582	3D_ligandable
P53597	3D_ligandable
P53602	3D_ligandable
P53611	3D_ligandable
P53621	3D_ligandable
P53667	3D_ligandable
P53671	3D_ligandable
P53673	3D_ligandable
P53674	3D_ligandable
P53680	3D_ligandable
P53778	3D_ligandable
P53779	Quality_probe
P53985	Quality_probe
P53990	3D_ligandable
P53992	3D_ligandable
P54098	3D_ligandable
P54132	3D_ligandable
P54136	3D_ligandable
P54219	Approved
P54252	3D_ligandable
P54253	3D_ligandable
P54274	3D_ligandable
P54278	3D_ligandable
P54284	Approved
P54289	Approved
P54315	3D_ligandable
P54577	3D_ligandable
P54578	3D_ligandable
P54619	3D_ligandable
P54646	3D_ligandable
P54652	3D_ligandable
P54687	3D_ligandable
P54709	Approved
P54710	Approved
P54750	Approved
P54753	Approved
P54756	Approved
P54760	Approved
P54762	Approved
P54764	Approved
P54819	3D_ligandable
P54868	3D_ligandable
P54886	3D_ligandable
P55008	3D_ligandable
P55010	3D_ligandable
P55011	3D_ligandable
P55017	Approved
P55036	3D_ligandable
P55040	3D_ligandable
P55042	3D_ligandable
P55055	Quality_probe
P55064	3D_ligandable
P55072	3D_ligandable
P55081	3D_ligandable
P55084	3D_ligandable
P55085	3D_ligandable
P55087	3D_ligandable
P55157	Approved
P55196	3D_ligandable
P55201	Quality_probe
P55210	3D_ligandable
P55211	3D_ligandable
P55212	3D_ligandable
P55263	Quality_probe
P55265	3D_ligandable
P55735	3D_ligandable
P55769	3D_ligandable
P55786	Quality_probe
P55789	3D_ligandable
P55809	3D_ligandable
P55884	3D_ligandable
P55899	3D_ligandable
P56159	3D_ligandable
P56192	3D_ligandable
P56373	3D_ligandable
P56470	3D_ligandable
P56524	Approved
P56545	3D_ligandable
P56556	Approved
P56696	Approved
P56817	Quality_probe
P56915	3D_ligandable
P56945	3D_ligandable
P57059	Quality_probe
P57075	3D_ligandable
P57729	3D_ligandable
P57735	3D_ligandable
P57740	3D_ligandable
P57764	3D_ligandable
P57768	3D_ligandable
P57772	3D_ligandable
P57789	3D_ligandable
P58004	3D_ligandable
P58753	3D_ligandable
P59046	3D_ligandable
P59095	3D_ligandable
P59665	3D_ligandable
P59768	3D_ligandable
P59998	3D_ligandable
P60022	3D_ligandable
P60033	3D_ligandable
P60174	3D_ligandable
P60228	3D_ligandable
P60484	3D_ligandable
P60568	Approved
P60709	3D_ligandable
P60763	3D_ligandable
P60842	Quality_probe
P60866	3D_ligandable
P60880	Approved
P60891	3D_ligandable
P60900	Approved
P60903	3D_ligandable
P60953	3D_ligandable
P61006	3D_ligandable
P61011	3D_ligandable
P61024	3D_ligandable
P61026	3D_ligandable
P61073	Approved
P61077	3D_ligandable
P61088	3D_ligandable
P61106	3D_ligandable
P61158	3D_ligandable
P61160	3D_ligandable
P61163	3D_ligandable
P61201	3D_ligandable
P61204	3D_ligandable
P61224	3D_ligandable
P61247	3D_ligandable
P61326	3D_ligandable
P61421	3D_ligandable
P61586	3D_ligandable
P61599	3D_ligandable
P61601	3D_ligandable
P61619	Quality_probe
P61626	3D_ligandable
P61764	3D_ligandable
P61769	3D_ligandable
P61812	Approved
P61916	3D_ligandable
P61923	3D_ligandable
P61956	3D_ligandable
P61964	Quality_probe
P61968	3D_ligandable
P61981	3D_ligandable
P62070	3D_ligandable
P62081	3D_ligandable
P62136	3D_ligandable
P62166	3D_ligandable
P62191	3D_ligandable
P62195	3D_ligandable
P62241	3D_ligandable
P62244	3D_ligandable
P62249	3D_ligandable
P62253	3D_ligandable
P62258	3D_ligandable
P62263	3D_ligandable
P62266	3D_ligandable
P62269	3D_ligandable
P62273	3D_ligandable
P62280	3D_ligandable
P62304	3D_ligandable
P62306	3D_ligandable
P62308	3D_ligandable
P62310	3D_ligandable
P62312	3D_ligandable
P62314	3D_ligandable
P62316	3D_ligandable
P62318	3D_ligandable
P62328	3D_ligandable
P62330	3D_ligandable
P62333	3D_ligandable
P62487	3D_ligandable
P62491	3D_ligandable
P62495	3D_ligandable
P62508	3D_ligandable
P62701	3D_ligandable
P62745	3D_ligandable
P62753	3D_ligandable
P62820	3D_ligandable
P62826	3D_ligandable
P62834	3D_ligandable
P62837	3D_ligandable
P62841	3D_ligandable
P62847	3D_ligandable
P62851	3D_ligandable
P62854	3D_ligandable
P62857	3D_ligandable
P62873	3D_ligandable
P62875	3D_ligandable
P62877	Approved
P62937	Approved
P62942	Approved
P62955	Approved
P62979	3D_ligandable
P62987	3D_ligandable
P62993	3D_ligandable
P63000	3D_ligandable
P63010	3D_ligandable
P63092	3D_ligandable
P63096	3D_ligandable
P63098	Approved
P63104	3D_ligandable
P63145	3D_ligandable
P63146	3D_ligandable
P63151	3D_ligandable
P63165	3D_ligandable
P63167	3D_ligandable
P63172	3D_ligandable
P63208	3D_ligandable
P63244	3D_ligandable
P63252	Approved
P63261	3D_ligandable
P63267	Quality_probe
P63272	3D_ligandable
P63279	3D_ligandable
P63316	Approved
P67775	3D_ligandable
P67870	3D_ligandable
P68032	3D_ligandable
P68036	3D_ligandable
P68106	3D_ligandable
P68133	3D_ligandable
P68363	Approved
P68366	Approved
P68371	Approved
P68400	Investigational
P68402	3D_ligandable
P68431	3D_ligandable
P68871	Approved
P69905	Approved
P78310	3D_ligandable
P78324	3D_ligandable
P78325	3D_ligandable
P78330	3D_ligandable
P78334	Approved
P78345	3D_ligandable
P78346	3D_ligandable
P78348	3D_ligandable
P78352	3D_ligandable
P78356	3D_ligandable
P78362	3D_ligandable
P78363	3D_ligandable
P78368	3D_ligandable
P78371	3D_ligandable
P78406	3D_ligandable
P78417	3D_ligandable
P78423	3D_ligandable
P78527	Investigational
P78536	Quality_probe
P78540	3D_ligandable
P78556	3D_ligandable
P78563	3D_ligandable
P80098	3D_ligandable
P80188	3D_ligandable
P80192	Quality_probe
P80365	Approved
P80404	Approved
P80748	3D_ligandable
P81274	3D_ligandable
P82251	3D_ligandable
P82980	3D_ligandable
P83110	3D_ligandable
P83876	3D_ligandable
P84022	3D_ligandable
P84074	3D_ligandable
P84077	3D_ligandable
P84095	3D_ligandable
P84243	3D_ligandable
P98160	3D_ligandable
P98161	3D_ligandable
P98170	Quality_probe
P98172	3D_ligandable
P98175	3D_ligandable
P99999	3D_ligandable
Q00013	3D_ligandable
Q00169	3D_ligandable
Q00266	3D_ligandable
Q00403	3D_ligandable
Q00526	Investigational
Q00532	3D_ligandable
Q00534	Approved
Q00535	Investigational
Q00536	3D_ligandable
Q00604	3D_ligandable
Q00610	3D_ligandable
Q00613	3D_ligandable
Q00688	3D_ligandable
Q00722	3D_ligandable
Q00796	3D_ligandable
Q00975	Approved
Q00987	Quality_probe
Q01064	Approved
Q01105	3D_ligandable
Q01118	Approved
Q01130	3D_ligandable
Q01344	Approved
Q01415	3D_ligandable
Q01469	3D_ligandable
Q01484	3D_ligandable
Q01581	3D_ligandable
Q01638	3D_ligandable
Q01650	3D_ligandable
Q01668	Approved
Q01718	Approved
Q01726	Quality_probe
Q01780	3D_ligandable
Q01813	3D_ligandable
Q01826	3D_ligandable
Q01860	3D_ligandable
Q01955	3D_ligandable
Q01959	Approved
Q01968	3D_ligandable
Q01970	3D_ligandable
Q01973	3D_ligandable
Q02108	Approved
Q02127	Approved
Q02153	Approved
Q02156	Approved
Q02223	Approved
Q02224	3D_ligandable
Q02241	3D_ligandable
Q02410	3D_ligandable
Q02487	3D_ligandable
Q02548	3D_ligandable
Q02641	Approved
Q02643	Approved
Q02747	3D_ligandable
Q02750	Approved
Q02763	Approved
Q02779	Quality_probe
Q02790	3D_ligandable
Q02817	3D_ligandable
Q02880	Approved
Q03013	3D_ligandable
Q03164	Quality_probe
Q03181	Approved
Q03405	3D_ligandable
Q03426	3D_ligandable
Q03431	Approved
Q03518	3D_ligandable
Q03519	3D_ligandable
Q03721	Approved
Q04206	Quality_probe
Q04446	3D_ligandable
Q04609	3D_ligandable
Q04637	3D_ligandable
Q04656	3D_ligandable
Q04721	3D_ligandable
Q04724	3D_ligandable
Q04756	3D_ligandable
Q04759	Approved
Q04771	Investigational
Q04828	3D_ligandable
Q04844	Approved
Q04912	Quality_probe
Q04917	3D_ligandable
Q05048	3D_ligandable
Q05066	3D_ligandable
Q05086	3D_ligandable
Q05193	3D_ligandable
Q05209	3D_ligandable
Q05329	3D_ligandable
Q05397	3D_ligandable
Q05513	Approved
Q05586	Approved
Q05639	Quality_probe
Q05655	Approved
Q05923	3D_ligandable
Q05940	Approved
Q05BQ5	3D_ligandable
Q06124	3D_ligandable
Q06187	Approved
Q06203	Approved
Q06210	3D_ligandable
Q06265	3D_ligandable
Q06278	3D_ligandable
Q06323	3D_ligandable
Q06330	3D_ligandable
Q06432	Approved
Q06455	3D_ligandable
Q06520	3D_ligandable
Q06609	3D_ligandable
Q07001	Approved
Q07021	3D_ligandable
Q07075	3D_ligandable
Q07157	3D_ligandable
Q07343	Approved
Q07812	3D_ligandable
Q07817	Quality_probe
Q07820	Quality_probe
Q07837	3D_ligandable
Q07866	3D_ligandable
Q07869	Approved
Q07889	3D_ligandable
Q07912	Approved
Q07960	3D_ligandable
Q08188	3D_ligandable
Q08209	Quality_probe
Q08257	3D_ligandable
Q08289	Approved
Q08334	3D_ligandable
Q08345	Approved
Q08493	Approved
Q08499	Approved
Q08623	3D_ligandable
Q08722	3D_ligandable
Q08881	Approved
Q08945	3D_ligandable
Q08AE8	3D_ligandable
Q08AH3	3D_ligandable
Q09013	3D_ligandable
Q09028	3D_ligandable
Q09161	3D_ligandable
Q09328	3D_ligandable
Q09428	Approved
Q09470	Approved
Q09472	Quality_probe
Q0VGL1	3D_ligandable
Q0Z7S8	3D_ligandable
Q10469	3D_ligandable
Q10471	3D_ligandable
Q10567	3D_ligandable
Q10570	3D_ligandable
Q10588	3D_ligandable
Q10589	3D_ligandable
Q12769	3D_ligandable
Q12770	3D_ligandable
Q12791	3D_ligandable
Q12797	3D_ligandable
Q12802	3D_ligandable
Q12809	Approved
Q12824	3D_ligandable
Q12830	3D_ligandable
Q12834	3D_ligandable
Q12852	Quality_probe
Q12866	Quality_probe
Q12874	3D_ligandable
Q12879	Approved
Q12882	Approved
Q12884	3D_ligandable
Q12888	3D_ligandable
Q12905	3D_ligandable
Q12918	3D_ligandable
Q12923	3D_ligandable
Q12931	3D_ligandable
Q12959	3D_ligandable
Q12980	3D_ligandable
Q12988	3D_ligandable
Q12996	3D_ligandable
Q13002	3D_ligandable
Q13009	3D_ligandable
Q13011	3D_ligandable
Q13029	3D_ligandable
Q13033	3D_ligandable
Q13042	3D_ligandable
Q13043	3D_ligandable
Q13077	3D_ligandable
Q13084	3D_ligandable
Q13085	3D_ligandable
Q13093	3D_ligandable
Q13098	3D_ligandable
Q13105	3D_ligandable
Q13126	3D_ligandable
Q13131	Quality_probe
Q13133	Quality_probe
Q13144	3D_ligandable
Q13148	3D_ligandable
Q13153	Quality_probe
Q13155	3D_ligandable
Q13158	3D_ligandable
Q13162	3D_ligandable
Q13163	Quality_probe
Q13164	Quality_probe
Q13177	Quality_probe
Q13185	3D_ligandable
Q13188	3D_ligandable
Q13191	3D_ligandable
Q13200	3D_ligandable
Q13216	3D_ligandable
Q13217	3D_ligandable
Q13224	Approved
Q13231	3D_ligandable
Q13232	3D_ligandable
Q13237	3D_ligandable
Q13255	3D_ligandable
Q13257	3D_ligandable
Q13283	3D_ligandable
Q13285	3D_ligandable
Q13303	3D_ligandable
Q13308	3D_ligandable
Q13309	3D_ligandable
Q13315	Quality_probe
Q13322	3D_ligandable
Q13324	3D_ligandable
